tree,leafno,median,mean,width,sum,kurt,skew
Phy000CWYS_YEAST,12,0.5462210000000001,0.5306575,0.6704829999999999,6.36789,-0.48017761975323614,-0.3123417972087518
Phy000CXEV_YEAST,12,0.35743,0.3530545,0.5739989999999999,4.236654,0.7414842274740363,0.5196282463393769
Phy000CX0V_YEAST,13,0.7252409999999999,0.6830704615384615,1.028038,8.879916,0.0618891136337254,-0.24071301938592207
Phy000CZFI_YEAST,10,0.42515650000000005,0.42331389999999997,0.522789,4.233139,-0.5671341119091804,-0.5700599043071065
Phy000CX8M_YEAST,10,0.4946735,0.49637469999999995,0.563719,4.963747000000001,1.7031712939286425,1.3958247902196816
Phy000CVOF_YEAST,13,0.42036599999999996,0.43540415384615383,0.687138,5.660253999999999,0.5138371804630579,0.722797867686899
Phy000D0JS_YEAST,11,0.770802,0.7443325454545455,0.854313,8.187658,3.6427002130128754,-2.0918604146466837
Phy000CVJI_YEAST,11,0.16263299999999997,0.1745893636363636,0.26778399999999997,1.920483,1.435139323741204,1.314756844469881
Phy000CYSR_YEAST,12,0.1653015,0.15089366666666665,0.211368,1.8107240000000002,-1.1218107663632524,-0.5871692203603324
Phy000CW1D_YEAST,19,0.338804,0.3945550526315789,0.6226859999999999,7.496545999999999,-1.2730342262166805,0.6011637025058856
Phy000CY70_YEAST,12,0.707452,0.6799060833333334,0.8760159999999999,8.158873,-0.27369357164635977,-0.35125957867479046
Phy000CY7I_YEAST,10,0.725885,0.8585014,1.7240259999999998,8.585014,-1.0381023007684396,0.6502134694914591
Phy000D047_YEAST,12,0.350392,0.39059058333333335,0.751881,4.687087,2.247530506565788,1.5780409569526177
Phy000CXO5_YEAST,17,0.9846060000000001,0.9860629411764708,1.206702,16.76307,-1.0572647967567506,0.0909092241203172
Phy000CZBT_YEAST,8,0.44614049999999994,0.43703175000000005,0.7379530000000001,3.4962540000000004,-1.0947137080865685,0.34892084476913265
Phy000D005_YEAST,12,0.6773155,0.6610158333333334,0.8198540000000001,7.932189999999999,0.26747638788432093,-1.0294702092427235
Phy000CYKS_YEAST,18,0.7887405000000001,0.7962141666666667,1.0278749999999999,14.331855000000001,-1.6606132486681036,-0.01311493072836422
Phy000CXN3_YEAST,12,0.176017,0.20243416666666667,0.374049,2.42921,1.9539819154788045,1.6601824455476026
Phy000D0FC_YEAST,12,0.7312305,0.7603775833333334,1.1541519999999998,9.124531000000001,-1.7799538349138933,0.09231681029586279
Phy000CYJG_YEAST,11,0.36694,0.37312727272727275,0.44765699999999997,4.104400000000001,-0.8821485391211992,-0.0013404277945168704
Phy000CXFK_YEAST,13,0.24519200000000002,0.2663962307692308,0.40247599999999994,3.4631510000000003,0.44992962377202383,1.1884744628979476
Phy000CWLO_YEAST,11,0.885851,0.7916121818181818,0.9792310000000001,8.707734,-0.5607965478514481,-0.8773241110454276
Phy000CZ5P_YEAST,11,0.516538,0.49195281818181813,0.821186,5.411480999999999,0.45884901237136155,0.144379685883106
Phy000D0B5_YEAST,8,0.558256,0.72341275,1.2775,5.7873019999999995,-0.6577943886180599,1.12029129687797
Phy000CXLS_YEAST,10,0.44725650000000006,0.42793089999999995,0.7917860000000001,4.279309,-0.2372607458551217,0.43228498145719474
Phy000CWNA_YEAST,11,1.082236,1.0701245454545454,1.733574,11.77137,1.8019772215484622,0.8167977933031145
Phy000CY7G_YEAST,35,1.09731,1.1147968857142856,1.471672,39.017891,-0.3450186243450317,-0.5384653324439403
Phy000CWTF_YEAST,12,0.421119,0.413515,0.567063,4.96218,0.5557697586010204,-0.7367594791166585
Phy000CW4P_YEAST,12,0.789674,0.9076729166666668,1.731749,10.892075000000002,-1.8948747582528953,0.07715789568941762
Phy000CZ6V_YEAST,5,0.8271220000000001,0.9189802,1.1717659999999999,4.594901,-1.515181574748356,0.017543796647226193
Phy000CZ6Z_YEAST,12,0.9588669999999999,0.9966548333333333,1.2939889999999998,11.959857999999999,-0.6143939904478182,0.7284164809768453
Phy000CW8X_YEAST,13,0.754928,0.9839947692307691,3.176999,12.791932,5.590997400852993,2.52191000866179
Phy000CX5Z_YEAST,10,0.477133,0.4593138,0.6005480000000001,4.593137999999999,0.9863996253689602,-1.0219185074236061
Phy000D00X_YEAST,12,0.1668915,0.1600429166666667,0.212994,1.9205150000000004,-1.4126875805945966,-0.3036161667570536
Phy000CZFC_YEAST,11,0.671472,0.6627325454545455,0.8058810000000001,7.290057999999999,-1.1725276964350364,-0.3297430451804738
Phy000CX5S_YEAST,6,0.222098,0.24080250000000003,0.396869,1.4448150000000002,0.42860681122948474,1.2757683814673302
Phy000CXTN_YEAST,12,0.438311,0.45278833333333335,0.60358,5.43346,-0.46950400679240634,0.3364069795252554
Phy000CYPO_YEAST,20,0.5761474999999999,0.6376816,1.0010029999999999,12.753632,0.18071764822913128,0.8970699416850386
Phy000CVJQ_YEAST,15,0.156451,0.17433853333333332,0.30398600000000003,2.615078,-1.0094825859437861,0.42221174240120996
Phy000CYIX_YEAST,9,0.316844,0.42721988888888884,0.7210099999999999,3.8449789999999995,-0.8756778251699466,0.6848986955147538
Phy000CXCX_YEAST,22,0.4748695,0.5000978636363637,0.664797,11.002153,-1.1626845463057738,-0.011487936367948953
Phy000CX5T_YEAST,8,0.7833654999999999,0.81073,1.05407,6.48584,-0.8599491922819573,0.5005456801161197
Phy000CZRY_YEAST,9,0.145844,0.19963833333333333,0.72712,1.796745,3.7594096995222666,2.3361003329145826
Phy000D0JC_YEAST,12,0.7464660000000001,0.701045,0.890468,8.41254,0.290663790001088,-1.066456812792436
Phy000CYVC_YEAST,12,0.347621,0.38931066666666664,0.797555,4.671728,1.6552456433426705,1.4271355181959717
Phy000CVRH_YEAST,7,0.594993,0.6578099999999999,1.050507,4.60467,1.6604788809679745,1.7828318276284922
Phy000CZS8_YEAST,11,1.404429,1.4873150000000002,2.535526,16.360464999999998,4.934446124185701,2.450039515702553
Phy000D03P_YEAST,12,0.437766,0.4404005833333334,0.654945,5.284807000000001,1.5857540705759456,-0.7503573310429835
Phy000CVR1_YEAST,12,0.908725,0.9109366666666666,1.612981,10.93124,1.2490888845505665,1.0895153008686629
Phy000CW73_YEAST,13,0.535085,0.6092416923076924,1.693712,7.920142000000002,7.203510811916981,2.9287180735952485
Phy000CXHQ_YEAST,6,1.362946,1.346189833333333,2.024884,8.077138999999999,-1.4679532753346745,-0.03729938502089395
Phy000CX0G_YEAST,11,0.618855,0.6025774545454546,0.929386,6.628352,1.601796168116393,-0.48765586093995683
Phy000CW82_YEAST,18,1.1330425000000002,1.1456424444444444,1.375642,20.621564,-0.8185619302967355,0.15420045136497584
Phy000CX9L_YEAST,12,0.847595,0.8031184166666668,1.210995,9.637421000000002,0.03591896059467903,-0.3013362584497939
Phy000CVWR_YEAST,12,0.334708,0.3296173333333333,0.453126,3.955408,1.6352042717847484,-0.803661873865822
Phy000CY88_YEAST,18,0.12641449999999999,0.13215061111111112,0.202996,2.378711,0.1728466752210891,0.9075057010959656
Phy000CWPU_YEAST,9,0.786356,0.7561643333333333,0.893615,6.805478999999999,-0.24348801673450415,-0.7946386358825742
Phy000CYB0_YEAST,11,0.60619,0.5798474545454545,0.916199,6.378322,0.5849199958275042,-0.0974557160598213
Phy000CZT1_YEAST,12,0.5053585,0.5324819166666667,0.72462,6.3897829999999995,-0.39201211287842597,0.7976292222366594
Phy000CVSI_YEAST,11,0.30797,0.3011665454545455,0.391156,3.312832,2.24988102050773,-1.1912750420480778
Phy000CXHZ_YEAST,12,0.6587775,0.65462575,1.151017,7.855509,2.422813006388802,1.3868560485729637
Phy000CZZD_YEAST,13,0.123038,0.1232815384615385,0.153836,1.6026600000000004,1.501213904776514,-0.6242794643789061
Phy000CZLM_YEAST,12,0.2853905,0.2822868333333333,0.32632099999999997,3.387442,-0.9761848460796081,-0.29366133933326954
Phy000CX7M_YEAST,25,0.078949,0.08609692000000001,0.29184,2.152423,12.911321254562042,3.5452978431697098
Phy000CZPI_YEAST,12,0.5524384999999999,0.5102643333333333,0.617162,6.123171999999999,-0.14162913048379666,-1.1678374883299458
Phy000CYSM_YEAST,11,0.27675400000000006,0.27359536363636366,0.423055,3.0095490000000003,0.4013197673098703,0.03452137454899915
Phy000CZ42_YEAST,12,0.337013,0.3257721666666666,0.442788,3.9092659999999992,0.7721857297321049,-1.0450917889847222
Phy000CZZ4_YEAST,18,0.24655200000000002,0.2601773333333333,0.354105,4.683191999999999,-0.9830352647461589,0.0073630325374376936
Phy000CWEZ_YEAST,11,0.9978140000000001,1.0221802727272729,1.2341309999999999,11.243983000000002,-0.8612413148119686,-0.1805027526308913
Phy000CXEG_YEAST,12,0.5626610000000001,0.6662743333333333,1.100755,7.995292,-0.2566957786507458,1.1032966623199525
Phy000CZCI_YEAST,9,0.770046,0.7571708888888887,1.190261,6.814538,1.2698275625301845,-0.04754719210096754
Phy000CYS9_YEAST,10,0.44235,0.510551,0.882962,5.10551,0.3553157256330035,1.1866921114662006
Phy000CX0Y_YEAST,10,0.232947,0.2716277,0.472666,2.7162770000000003,-0.5277071963092737,0.9170457267549641
Phy000CX0I_YEAST,12,0.1559075,0.17170716666666666,0.34628899999999996,2.060486,0.24954398374075648,1.1372205846157006
Phy000D0C0_YEAST,13,0.21215499999999998,0.23296807692307692,0.351296,3.0285850000000005,-0.6578409571559911,0.7342936371485859
Phy000CZZ3_YEAST,11,1.948316,1.8689872727272727,2.377558,20.55886,-0.3986067296457523,-0.04694911850154632
Phy000CYSF_YEAST,5,0.057456999999999994,0.06867519999999999,0.152529,0.34337599999999996,-0.45653441650294546,0.784058206876917
Phy000CYJJ_YEAST,11,1.171534,1.0657369090909092,1.284165,11.723106000000001,-1.13941922639166,-0.7377387161260556
Phy000CXUN_YEAST,11,0.803219,0.7105755454545455,1.157848,7.816331,-0.6309542333798208,-0.22367194449502534
Phy000CXY3_YEAST,11,0.07078899999999999,0.09787981818181818,0.227042,1.076678,1.7502541062311208,1.5975083595873611
