seed,species,event_dist,event_ndist,seed_dist,seed_ndist,nfactor,norm_leafno,norm_median,norm_mean,norm_width,norm_sum,norm_kurt,norm_skew,norm_D,norm_S,whole_leafno,whole_median,whole_mean,whole_width,whole_sum,whole_kurt,whole_skew,whole_D,whole_S
Phy0024FOZ_HUMAN,HUMAN,2.2981161999999995,1.54934700483152,7.213599249999998,4.863273837955799,1.4832805000000002,37,1.4832805000000002,1.7588119945945948,2.9540909,65.0760438,-1.1129636226001396,0.4652138069883176,7,29,150,5.8346534499999985,5.314786288666666,8.23022305,797.2179433000003,0.4175278430970248,-0.9442325341490948,62,87
Phy0008DNR_HUMAN,HUMAN,4.4840676,1.891308509735052,4.5387976000000005,1.9143927546598607,2.3708811,149,2.3708811,2.44293947114094,4.6800340999999985,363.99798119999986,5.7220842718805365,0.3197439749497597,52,96,150,2.42462965,2.481383208,4.7347641,372.2074811999999,5.780808329606152,-0.10100843558601184,53,96
Phy00087B9_HUMAN,HUMAN,7.1290493,7.640012577159145,15.0513393,16.130120120657562,0.9331201,35,0.9331201,1.337378662857143,2.6498378,46.80825320000002,-1.4519195720749367,0.5661057088413073,4,30,107,13.4976294,13.4607947953271,15.821100000000005,1440.305043099999,8.932428248186056,-2.0207436417705367,15,91
Phy0024GD6_HUMAN,HUMAN,0.2397258,1.0071150037683976,0.3992068,1.6771125923299453,0.2380322,6,0.2380322,0.2827380666666667,0.5186876,1.6964284,1.1732096403918808,1.7736511146931808,0,5,7,0.3958196000000001,0.4018279142857143,0.6781686,2.8127953999999997,0.5343490296584856,0.3636495898068087,0,6
Phy0008G0A_HUMAN,HUMAN,1.4311941000000001,0.9798197513087822,2.6062754,1.7843003365303116,1.4606708000000002,117,1.4606708000000002,1.458395820512821,3.2796301000000003,170.63231100000004,-0.4617126470472113,0.5118364653751363,70,46,133,3.0454653,3.002167406766917,5.219722300000001,399.2882650999998,1.1546110123535982,-0.3239170137883158,77,55
Phy000873J_HUMAN,HUMAN,2.0264737,0.7164870964886053,2.8641187,1.0126477789283517,2.8283464000000005,42,2.8283464000000005,2.7295019595238097,3.396722,114.6390823,-1.4782337159143002,-0.3186025654210542,8,33,43,3.5588880000000005,3.5036701697674437,4.2343670000000015,150.6578173,3.4983308098813164,-1.4627535332804666,8,34
Phy001R6XF_HUMAN,HUMAN,0.8537421000000001,1.2591436799841424,2.0926561,3.0863591038737157,0.6780339,16,0.6780339,0.678714975,0.8234046,10.8594396,-0.7083920271995381,-0.2236515845943655,0,15,38,2.1910582,2.534310828947368,6.572196999999999,96.30381150000002,4.765559832639789,2.1433940473792115,3,34
Phy0007YN8_HUMAN,HUMAN,1.0044923000000001,0.991724051185793,3.3948138,3.3516618243439367,1.0128747999999999,27,1.0128747999999999,1.0670464481481483,1.766706,28.8102541,8.980413066746221,2.863257272199037,2,24,30,3.39900475,3.1658799033333334,4.157027500000001,94.97639709999999,5.22264657579462,-2.5707609461596936,4,25
Phy0024BKT_HUMAN,HUMAN,3.0683,1.1924532859932655,3.689685,1.4339461599354897,2.5730987,61,2.5730987,2.4647830540983606,3.4559700000000007,150.35176629999995,-0.5281857921553712,-0.4723833774599732,9,51,62,3.16389235,3.046413488709677,4.077354999999999,188.8776363,2.334829705125045,-1.1695768129263315,10,51
Phy003J1TP_HUMAN,HUMAN,0.2060617,1.1407837051857457,0.2125616,1.1767679759422074,0.1806317,3,0.1806317,0.1408315,0.2060617,0.4224945,-1.5,-0.6466094244923021,0,2,4,0.1147163,0.112123525,0.2125616,0.4484941,-1.882098731612444,-0.029546608103205082,0,3
Phy001R4HO_HUMAN,HUMAN,3.0158522000000003,1.5001716377956529,5.6755582,2.8231859108674318,2.0103381000000002,81,2.0103381000000002,2.095313404938272,3.292995,169.72038579999997,-0.2650585103900758,0.6183063361527436,11,69,150,5.73342805,5.953208939333331,12.273991,892.9813409000002,9.357715911260714,2.3978902647623186,28,121
Phy00267CM_HUMAN,HUMAN,2.4137602000000005,1.429535212760728,2.5127117,1.4881386538173391,1.6884929999999998,21,1.6884929999999998,1.6600277095238092,2.4838147999999998,34.86058189999999,-1.3732994700100636,-0.1105243791420228,3,17,22,1.60775,1.6835234045454543,2.5827663000000003,37.03751489999999,-1.0361002367693886,-0.2626989704800234,3,18
Phy0008JW7_HUMAN,HUMAN,2.178528,1.8435511594103742,2.696618,2.281978124856272,1.18170195,42,1.18170195,1.1787705404761903,1.8726000000000005,49.508362700000006,0.2324746393428549,0.6127428239128617,4,37,104,2.9322225,3.0091628336538463,4.4473080000000005,312.9529346999998,3.5278511305551428,0.12109672331091602,19,84
Phy0008JSW_HUMAN,HUMAN,1.5754603999999999,1.1972742650010344,1.5929395000000002,1.2105575418167382,1.3158726,149,1.3158726,1.2922683288590604,1.9462899,192.547981,8.570610019896245,-2.093005098864412,121,27,150,1.331927,1.301132306666667,1.9637690000000003,195.16984599999992,8.009751207223255,-2.173285719963423,122,27
Phy003J1GX_HUMAN,HUMAN,3.1061140000000003,1.4722654401903807,5.142547,2.43751331169903,2.10975135,34,2.10975135,2.2025532676470587,3.0351892000000005,74.88681109999999,-0.7278197470913037,0.5779454029557439,2,31,68,4.36149115,3.993754769117647,5.600696200000002,271.5753242999999,2.4061418777685377,-1.709765641609531,12,55
Phy0008F20_HUMAN,HUMAN,0.7144792,0.9503106089872738,1.430276,1.902373724217419,0.7518375500000001,12,0.7518375500000001,0.7857610666666667,1.0474375,9.429132800000001,0.7444966393026649,1.1968109927464663,0,11,29,1.7571659999999998,2.2730966482758617,4.8177835,65.91980280000001,-0.451771467287482,0.6688548275899755,0,28
Phy0026I8T_HUMAN,HUMAN,1.2146370000000002,1.5801514770896068,1.42915,1.8592167729804143,0.7686839000000001,19,0.7686839000000001,0.7896447842105264,1.58237,15.0032509,8.955579865657588,2.908536275854883,2,16,23,1.5821108999999998,1.7950111695652178,4.8914360000000014,41.28525690000001,4.623100090703407,2.2129459072630624,2,20
Phy0008HRY_HUMAN,HUMAN,2.1612229,2.9687649727907304,3.1248529,4.292455828893695,0.7279872,14,0.7279872,0.673383957142857,0.8444944999999999,9.4273754,-0.03694564650913757,-1.1304689447330634,2,11,57,3.781672,3.7115865684210534,4.880231,211.56043440000008,2.4186828207341757,-0.9864767419108316,18,38
Phy0008J8D_HUMAN,HUMAN,2.9639417999999997,1.8900730667238548,3.0337018,1.9345582509925392,1.56816255,14,1.56816255,1.554854185714286,1.6413734,21.7679586,2.5382325027285964,-1.5865454302169946,0,13,16,3.0339509500000004,2.66113194375,3.1124234,42.5781111,3.1082040568463807,-2.2531648727236044,0,15
Phy0008GLN_HUMAN,HUMAN,0.7682164,0.9966275994047348,0.9879819,1.2817352366498929,0.7708159000000001,10,0.7708159000000001,0.74614665,1.0385954999999998,7.461466499999999,-0.9412589494871368,-0.307837650924542,0,9,11,0.9879819,0.8980806363636366,1.2583609999999998,9.878886999999999,0.10209152745215233,-0.8742692996238445,0,10
Phy0024846_HUMAN,HUMAN,0.9382325,0.9464246571901724,1.5456975000000002,1.5591937249639152,0.9913441,13,0.9913441,1.2354728,2.0317830000000003,16.061146400000002,-0.9714580827501896,0.917793657882644,2,10,14,1.59416725,1.7546897428571426,2.639248,24.5656564,-0.09215481061429953,0.07590438285801013,2,11
Phy0008AAM_HUMAN,HUMAN,0.456818,0.4281146668573488,0.6458275,0.6052480966376422,1.0670458999999999,26,1.0670458999999999,1.3341616730769228,2.999523,34.6882035,-1.5671166720501684,0.2447240573787028,3,22,27,0.7239123000000001,1.4737577777777775,3.1885325,39.79146,-1.530990955638325,0.2801880146705849,4,22
Phy00081AD_HUMAN,HUMAN,3.3727205000000002,3.426741364236506,5.9400805,6.035222769347375,0.9842354999999999,25,0.9842354999999999,1.007746112,1.60794,25.193652800000002,2.055856041624107,1.3440766282690888,2,22,31,5.9400805,5.881026248387094,6.683775999999999,182.3118137,16.860106429853616,-3.8173756178646183,3,27
Phy00085OC_HUMAN,HUMAN,0.0267556,0.20697631062072933,0.7423774500000001,5.742892915465361,0.1292689,64,0.1292689,0.182668690625,0.9310075999999999,11.690796200000005,3.5317626623234952,1.899592765473928,43,20,106,0.8661366500000001,0.9425430377358492,3.5818625500000003,99.909562,20.189087742991568,2.9768762087830867,56,49
Phy0024DH8_HUMAN,HUMAN,2.4019649,1.5813422197023368,2.6527854,1.7464707968172026,1.5189406,27,1.5189406,1.5528892518518516,2.5536778,41.92800980000001,7.564035094955268,2.216449564644876,2,24,30,2.7320870999999998,2.6280532266666667,3.805209300000001,78.84159680000002,6.786762165756168,-2.420415296344516,2,27
Phy00086T7_HUMAN,HUMAN,1.3914316999999998,1.039627517881593,3.4886967,2.606628187975525,1.33839445,78,1.33839445,1.2863240628205128,2.0762849,100.33327690000002,0.07677771581338977,-0.2627870588146538,22,55,84,3.43565945,3.3002895333333333,4.173549899999999,277.22432080000004,14.719116973449461,-3.520703221113485,25,58
